Período;Ativo Circulante;Ativo Não Circulante;Passivo Circulante;Passivo Não Circulante;Patrimônio Líquido
31/12/2022;16121527;42083379;13337868;18996339;22332734
30/09/2022;15685267;42520438;12303579;19194874;22984957
30/06/2022;15089213;42582143;11638867;18442504;24231110
31/03/2022;14749007;40512662;14285550;14098044;23821944
31/12/2021;17449875;45952689;13693877;18187889;28545570
30/09/2021;17080432;44305678;12747056;18023660;27849890
30/06/2021;19347507;41876992;14471149;17802928;26310980
31/03/2021;17739096;45349756;15006149;18097840;28691335
31/12/2020;18734819;43522502;16159586;17370905;27364326
30/09/2020;19099331;46295837;16717348;22977145;24600514
30/06/2020;17064524;45004288;12863889;24955570;23245606
31/03/2020;13860739;43194421;11533584;24229683;20266098
